"","X","TREE_ID","INVENTORY_ID_IFN2","PLOT_ID.x","TREE_ID_IFN3_2.x","TREE_ID_IFN3.x","TREE_ID_IFN2.x","TREE_ID_compare","expan_IFN2","dbh_IFN2","h_IFN2","g_IFN2","bal_IFN2","circ_normal_IFN2","esbeltez_IFN2","cr_IFN2","lcw_IFN2","hcb_IFN2","hlcw_IFN2","vob_IFN2","vub_IFN2","vbark_IFN2","v_desenrollo.x","v_chapa.x","v_sierra_gruesa_IFN2","v_sierra_IFN2","v_sierra_canter_IFN2","v_poste.x","v_estaca.x","v_trituracion_IFN2","wsw_IFN2","wthickb_IFN2","wb2_7_IFN2","wtbl_IFN2","wr_IFN2","wt_IFN2","sheet_SM4_IFN2","dbh_i_IFN2","h_i_IFN2","dbh","TREE_ID.y","INVENTORY_ID_IFN3","PLOT_ID.y","TREE_ID_IFN3_2.y","TREE_ID_IFN3.y","TREE_ID_IFN2.y","expan_IFN3","dbh_IFN3","h_IFN3","g_IFN3","bal_IFN3","g_ha","circ_normal_IFN3","esbeltez_IFN3","cr_IFN3","lcw_IFN3","hcb_IFN3","hlcw_IFN3","vob_IFN3","vub_IFN3","vbark_IFN3","v_ha","v_desenrollo.y","v_chapa.y","v_sierra_gruesa_IFN3","v_sierra_IFN3","v_sierra_canter_IFN3","v_poste.y","v_estaca.y","v_trituracion_IFN3","wsw_IFN3","wthickb_IFN3","wb2_7_IFN3","wtbl_IFN3","wr_IFN3","wt_IFN3","sheet_SM4_IFN3","dbh_i_IFN3","h_i_IFN3"
"1",1,"40_1022_1","IFN2","40_1022",NA,NA,1,NA,35.72,26.16,12.83,537.34,23.89,82.17,49.04,0.35,4.13,8.33,9.81,303.54,284.41,19.12,0,0,0,0,180.52,204.87,47.74,283.42,135.14,0,22.94,36.64,88.94,283.65,"Nodo 3 - Pies inventariados",4.71,1.33,21.45,"40_1022_1","IFN3","40_1022",1,1,1,14.15,26.11,13.58,535.52,18.95,0.76,82.03,52.02,0.4,4.19,8.19,9.68,321.28,300.19,21.1,4.55,0,0,0,0,241.2,209.96,49.35,302.91,142.63,0,21.69,34.16,88.64,287.12,"Nodo 1 - Pies inventariados",4.66,2.08
"2",2,"40_1022_10","IFN2","40_1022",NA,NA,10,NA,15.9,27.31,12.35,585.78,16.87,85.8,45.22,0.37,4.4,7.78,9.27,315.94,298.52,17.42,0,0,0,0,189.06,213.62,44.65,295.84,141.84,0,26.72,42.08,96.96,307.6,"Nodo 3 - Pies inventariados",4.76,1.35,22.55,"40_1022_15","IFN3","40_1022",15,15,10,14.15,27.22,13.92,581.87,16.55,0.82,85.51,51.13,0.4,4.36,8.32,9.86,355.77,334.17,21.59,5.03,0,0,0,0,254.56,221.83,48.2,333.75,158.78,0,23.78,36.4,96.31,315.26,"Nodo 1 - Pies inventariados",4.67,2.92
"3",3,"40_1022_11","IFN2","40_1022",NA,NA,11,NA,34.76,24.78,11.32,482.22,27.6,77.84,45.68,0.35,4.01,7.35,8.7,241.07,225.27,15.8,0,0,0,0,163.26,183.51,47.33,226.23,107.03,0,22.13,37.56,79.82,246.54,"Nodo 3 - Pies inventariados",4.68,1.32,20.1,"40_1022_16","IFN3","40_1022",16,16,11,14.15,24.65,13.33,477.35,19.71,0.68,77.45,54.08,0.4,3.97,8.05,9.52,283.38,262.66,20.72,4.01,0,0,0,0,173.25,196.64,51.86,266.26,124.8,0,18.84,30.76,79.01,253.41,"Nodo 1 - Pies inventariados",4.55,3.33
"4",4,"40_1022_12","IFN2","40_1022",NA,NA,12,NA,15.91,27.98,11.85,614.98,14.92,87.91,42.36,0.38,4.57,7.37,8.84,316.59,300.81,15.78,0,0,0,0,191.9,216.74,28.55,295.89,142.93,0,29.64,46.54,101.79,320.9,"Nodo 3 - Pies inventariados",4.78,1.35,23.2,"40_1022_17","IFN3","40_1022",17,17,12,14.15,27.85,13.42,609.31,14.86,0.86,87.5,48.17,0.41,4.52,7.94,9.44,357.3,337.36,19.93,5.05,0,0,0,0,258.17,225.53,45.54,337.45,160.29,0,26.18,39.94,100.85,327.26,"Nodo 1 - Pies inventariados",4.65,2.92
"5",5,"40_1022_13","IFN2","40_1022",NA,NA,13,NA,15.9,27.93,11.35,612.75,15.9,87.75,40.63,0.38,4.6,7.05,8.47,301.5,286.96,14.54,0,0,0,0,187.73,210.6,28.51,283.53,136.34,0,30.66,48.74,101.42,317.18,"Nodo 3 - Pies inventariados",4.78,1.35,23.15,"40_1022_18","IFN3","40_1022",18,18,13,14.15,27.97,13.33,614.58,13.13,0.87,87.88,47.66,0.41,4.56,7.83,9.33,357.81,338.17,19.64,5.06,0,0,0,0,259.04,226.69,44.97,340.19,160.68,0,26.64,40.61,101.73,329.65,"Nodo 1 - Pies inventariados",4.82,3.33
"6",6,"40_1022_14","IFN2","40_1022",NA,NA,14,NA,34.69,20.93,10.83,344.08,34.98,65.76,51.72,0.34,3.39,7.18,8.45,168.49,153.71,14.78,0,0,0,0,71.37,0,65.39,156.39,73.03,0,14.5,27.29,56.95,171.78,"Nodo 3 - Pies inventariados",4.58,1.33,16.35,"40_1022_21","IFN3","40_1022",21,21,14,31.83,19.44,12.83,296.94,26.5,0.95,61.09,66,0.38,3.13,7.94,9.33,175.69,157.26,18.43,5.59,0,0,0,0,65.67,0,87.94,164.12,74.72,0,10.17,19.07,49.15,153.11,"Nodo 1 - Pies inventariados",3.09,3.33
"7",7,"40_1022_15","IFN2","40_1022",NA,NA,15,NA,34.55,18.45,10.33,267.29,42.71,57.96,55.97,0.32,2.98,6.99,8.18,127.04,113.9,13.13,0,0,0,0,0,0,72.67,115.21,54.12,0,10.7,21.83,44.24,130.89,"Nodo 3 - Pies inventariados",4.5,1.33,13.95,"40_1022_22","IFN3","40_1022",22,22,15,31.83,17.14,12.33,230.78,29.85,0.73,53.85,71.95,0.38,2.77,7.7,9.03,133.56,117.46,16.1,4.25,0,0,0,0,0,0,100.82,124.48,55.81,0,7.46,15.13,38.2,116.6,"Nodo 1 - Pies inventariados",3.19,3.33
"8",8,"40_1022_16","IFN2","40_1022",NA,NA,16,NA,15.95,35.66,14.38,998.99,1.77,112.04,40.32,0.4,5.65,8.67,10.43,606.22,592.78,13.44,0,0,0,355.41,231.93,261.7,24.77,574.37,281.65,0,48.45,63.5,165.35,558.95,"Nodo 3 - Pies inventariados",4.91,1.38,30.75,"40_1022_24","IFN3","40_1022",24,24,16,14.15,38.22,15.5,1147.57,1.74,1.62,120.09,40.55,0.43,6.09,8.77,10.55,745.23,734.05,11.18,10.54,0,0,0,415.96,228.29,255.8,22.81,708.08,348.77,0.19,54.77,67.83,189.95,661.5,"Nodo 1 - Pies inventariados",7.47,2.5
"9",9,"40_1022_17","IFN2","40_1022",NA,NA,17,NA,15.94,33.34,12.87,872.84,4.77,104.73,38.62,0.4,5.42,7.76,9.37,476.78,463.69,13.09,0,0,0,178.26,294.89,262.09,25.85,446.47,220.31,0,44.47,62.19,144.47,471.45,"Nodo 3 - Pies inventariados",4.89,1.37,28.45,"40_1022_27","IFN3","40_1022",27,27,17,14.15,33.9,14,902.75,4.77,1.28,106.51,41.29,0.43,5.53,7.95,9.57,536.93,521.56,15.36,7.6,0,0,0,188.33,302.53,267.22,25.93,506.11,247.81,0,43.19,58.58,149.42,499.01,"Nodo 1 - Pies inventariados",5.45,2.5
"10",10,"40_1022_18","IFN2","40_1022",NA,NA,18,NA,15.94,33.59,13.38,886.21,3.36,105.53,39.83,0.4,5.42,8.05,9.72,503.44,489.33,14.1,0,0,0,182.41,297.55,264.2,25.63,474.36,232.5,0,43.86,60.48,146.69,483.52,"Nodo 3 - Pies inventariados",4.89,1.38,28.7,"40_1022_28","IFN3","40_1022",28,28,18,14.15,35.65,14.5,997.91,3.36,1.41,111.98,40.68,0.43,5.77,8.21,9.88,610.96,597.13,13.82,8.64,0,0,0,356.91,232.32,261.52,24.72,575.45,283.72,0,48.01,62.82,165.17,559.72,"Nodo 1 - Pies inventariados",6.95,2.5
